name_x,type,id,level,play_cost,evolution_cost,evolution_color,evolution_level,xros_req,color,color2,digi_type,digi_type2,form,dp,attribute,rarity,stage,artist,main_effect,source_effect,alt_effect,series,pretty_url,date_added,tcgplayer_name,tcgplayer_id,set_name,idProduct,name_y,code,idExpansion,idMetacard,idCategory,avg,low,trend,avg1,avg7,avg30
Firamon,Digimon,EX5-008,4.0,4.0,2.0,Red,,[Digivolve] Lv.3 w/[Light Fang]/[Night Claw] trait: Cost 2,Red,,Beast,Light Fang,,4000.0,Vaccine,R,,,[On Play] [When Digivolving] Reveal the top 3 cards of your deck. Add 1 card with the [Light Fang] trait and 1 card with the [Night Claw] or [Galaxy] trait among them to the hand. Return the rest to the bottom of the deck.,[Your Turn] This Digimon gets +2000 DP.,[Digivolve] Lv.3 w/[Light Fang]/[Night Claw] trait: Cost 2,Digimon Card Game,firamon-ex5-008,2024-05-27 15:14:30,Firamon,530768.0,['EX-05: Theme Booster Animal Colosseum'],749720.0,Firamon (EX5-008),EX5-008,5560.0,428962.0,1611.0,1.47,1.0,1.61,0.8,1.51,1.28
Fire Ball,Option,EX2-067,,2.0,,,,,Red,,,,,,,u,,,"[Main] Delete 1 of your opponent's Digimon with 3000 DP or less. If an opponent's Digimon wasn't deleted by this effect, ＜Draw 2＞ (Draw 2 cards from your deck.)",Security Effect [Security] Activate this card's [Main] effects.,,Digimon Card Game,fire-ball-ex2-067,2024-05-27 15:14:30,Fire Ball,274341.0,['EX-02: Theme Booster Digital Hazard'],661872.0,Fire Ball (EX2-067),EX2-067,5079.0,408798.0,1611.0,0.21,0.02,0.34,0.4,0.21,0.21
Fire Rocket,Option,BT8-095,,1.0,,,,,Red,,,,,,,c,,,"While you have an [Armor Form] trait Digimon, you can ignore this card's color requirements.
[Main] 1 of your Digimon with 2 or more colors gains ＜Security A. +1＞ for the turn. (This Digimon checks 1 additional security card.)",Security Effect [Security] Delete 1 of your opponent's Digimon with ＜Blocker＞.,,Digimon Card Game,fire-rocket-bt8-095,2024-05-27 15:14:30,Fire Rocket,268145.0,['BT-08: Booster New Awakening'],651243.0,Fire Rocket (BT8-095),BT8-095,5027.0,406370.0,1611.0,0.12,0.02,0.13,0.19,0.14,0.15
Firedrake Strike,Option,BT7-093,,4.0,,,,,Red,,,,,,,u,,,[Main] Choose 1 of your Digimon with the [Hybrid] trait. Delete 1 of your opponent's Digimon with DP less than or equal to the chosen Digimon's DP.,Security Effect [Security] You may play 1 [Takuya Kanbara] from your hand or trash without paying its memory cost.,,Digimon Card Game,firedrake-strike-bt7-093,2024-05-27 15:14:30,Firedrake Strike,260564.0,['BT-07: Booster Next Adventure'],620912.0,Firedrake Strike (BT7-093),BT7-093,4994.0,405772.0,1611.0,0.03,0.02,0.05,0.02,0.14,0.06
Fist of Athena,Option,BT18-099,,3.0,,,,,Purple,Black,,,,,,C,,,"While you have a Digimon with [Knightmon] in its text, you can ignore this card's color requirements.
[Main] Until the end of opponent's turn, 1 of your their Digimon gains ""[Start of Your Main Phase] This Digimon attacks."" Then, place this card in the battle area.
[All Turns] When attack target changes, ＜Delay＞ (By trashing this card after the placing turn, activate the effect below.)
・1 of your Digimon gains ＜Piercing＞ (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.) and ＜Security A. +1＞ (This Digimon checks 1 additional security card.) until the end of your turn.","Security Effect [Security] You may play 1 level 5 or lower Digimon card with [Knightmon] in its text from your trash without paying the cost. Then, place this card in the battle area.",,Digimon Card Game,fist-of-athena-bt18-099,2024-06-12 14:17:50,Fist of Athena,587196.0,"['BT-18: Booster Elemental Successor', 'BT18-19: Special Booster Ver.2.0']",793733.0,Fist of Athena (BT18-099),BT18-099,5922.0,441364.0,1611.0,0.03,0.02,0.08,0.1,0.04,0.07
Fist of the Beast King,Option,EX2-069,,2.0,,,,,Blue,,,,,,,c,,,"While you have a Digimon with [Beelzemon] in its name, you can ignore this card's color requirements.
[Main] Unsuspend 1 of your Digimon with [Leomon] or [Beelzemon] in its name.",Security Effect [Security] Activate this card's [Main] effects.,,Digimon Card Game,fist-of-the-beast-king-ex2-069,2024-05-27 15:14:30,Fist of the Beast King,274910.0,['EX-02: Theme Booster Digital Hazard'],664841.0,Fist of the Beast King (EX2-069),EX2-069,5079.0,409449.0,1611.0,0.02,0.02,0.05,0.02,0.06,0.04
Flame Hellscythe,Option,BT8-109,,6.0,,,,,Purple,Yellow,,,,,,r,,,"[Main] 1 of your opponent's Digimon gets -6000 DP for the turn. Then, you may play 1 purple or yellow Digimon card with 6000 DP or less from your trash without paying its memory cost.",Security Effect [Security] Activate this card's [Main] effect.,,Digimon Card Game,flame-hellscythe-bt8-109,2024-05-27 15:14:30,Flame Hellscythe,268816.0,"['BT-08: Booster New Awakening', 'Revision Pack 2023']",651734.0,Flame Hellscythe (BT8-109),BT8-109,5027.0,406669.0,1611.0,0.13,0.05,0.5,0.25,0.43,0.46
Flame Memory Boost!,Option,BT7-092,,3.0,,,,,Red,,,,,,,c,,,"[Main] 1 of your Digimon gains ＜Security A. +1＞ for the turn. (This Digimon checks 1 additional security card.) Then, place this card in your battle area. 
[Main] ＜Delay＞ (By trashing this card after the placing turn, activate the effect below.)
・Gain 2 memory.",Security Effect [Security] Place this card in the battle area.,,Digimon Card Game,flame-memory-boost-bt7-092,2024-05-27 15:14:30,Flame Memory Boost!,264393.0,['BT-07: Booster Next Adventure'],620911.0,Flame Memory Boost! (BT7-092),BT7-092,4994.0,405771.0,1611.0,0.08,0.02,0.07,0.05,0.08,0.07
Flamedramon,Digimon,P-137,4.0,5.0,3.0,,,[Digivolve] [Veemon]: Cost 2,Red,Blue,Dragonkin,,Armor Form,5000.0,Free,P,Armor Form,,"＜Armor Purge＞ (When this Digimon would be deleted, you may trash the top card of this Digimon to prevent that deletion.)
＜Raid＞ (When this Digimon attacks, you may switch the target of attack to 1 of your opponent's unsuspended Digimon with the highest DP.)
[Your Turn] [Once Per Turn] When this Digimon's attack target is switched, your opponent adds the top card of their security stack to the hand.",,[Digivolve] [Veemon]: Cost 2,Digimon Card Game,flamedramon-p-137,2024-05-27 15:14:30,Flamedramon (Update Pack 2024),561545.0,['Update Pack 2024'],778478.0,Flamedramon (P-137),P-137,5832.0,437140.0,1611.0,16.11,8.0,14.22,16.0,17.32,26.77
Flamedramon,Digimon,BT8-012,4.0,5.0,3.0,Red,,[Digivolve] [Veemon]: Cost 2,Red,Blue,Dragonkin,,Armor Form,5000.0,Free,r,Armor Form,,"＜Armor Purge＞ (When this Digimon would be deleted, you may trash the top card of this Digimon to prevent that deletion.)
[When Attacking] This Digimon gets +3000 DP for the turn.",,[Digivolve] [Veemon]: Cost 2,Digimon Card Game,flamedramon-bt8-012,2024-05-27 15:14:30,Flamedramon,268141.0,['BT-08: Booster New Awakening'],651241.0,Flamedramon (BT8-012),BT8-012,5027.0,406368.0,1611.0,0.13,0.02,0.15,0.19,0.17,0.14
Flamedramon,Digimon,EX3-008,4.0,5.0,2.0,,,,Red,,Dragonkin,,Armor Form,5000.0,Free,c,Armor Form,,"[When Digivolving] Activate 1 of the effects below.
・1 of your other Digimon may digivolve into a level 4 purple Digimon card with the [Free] trait from your trash for the cost.
・This Digimon and another of your Digimon may DNA digivolve into a Digimon card in the hand.",[End of Your Turn] This Digimon and any of your other Digimon may DNA digivolve into a Digimon card in the hand.,,Digimon Card Game,flamedramon-ex3-008,2024-05-27 15:14:30,Flamedramon,452816.0,"['EX-03: Theme Booster Draconic Roar', 'Revision Pack 2023']",683215.0,Flamedramon (EX3-008),EX3-008,5190.0,413976.0,1611.0,0.12,0.02,0.11,0.23,0.08,0.09
Flamedramon,Digimon,BT21-035,4.0,6.0,3.0,,,[Digivolve] [Veemon]: Cost 2,Blue,Red,Dragonkin,,Armor Form,6000.0,Free,U,Armor Form,,"＜Armor Purge＞ (When this Digimon would be deleted, you may trash the top card of this Digimon to prevent that deletion.)
[When Digivolving] This Digimon gets +2000 DP until your opponent's turn ends.
[Your Turn] [Once Per Turn] When this Digimon's attack target changes, this Digimon unsuspends.",,[Digivolve] [Veemon]: Cost 2,Digimon Card Game,flamedramon-bt21-035,2025-03-16 12:04:35,Flamedramon,618915.0,['BT-21: Booster World Convergence'],814483.0,Flamedramon (BT21-035),BT21-035,6010.0,446654.0,1611.0,0.09,0.02,0.07,0.02,0.09,0.07
Flamemon,Digimon,BT4-009,3.0,3.0,0.0,Red,2.0,,Red,,Wizard,,Hybrid,2000.0,Variable,c,Hybrid,,[On Play] Reveal the top 3 cards of your deck. Add 1 Digimon card with the [Hybrid] trait and 1 red Tamer card among them to your hand. Place the remaining cards at the bottom of your deck in any order.,,,Digimon Card Game,flamemon-bt4-009,2024-05-27 15:14:30,Flamemon,238087.0,['BT-04: Booster Great Legend'],620392.0,Flamemon (BT4-009),BT4-009,4988.0,405349.0,1611.0,0.2,0.02,0.05,0.2,0.07,0.11
Flamemon,Digimon,BT6-010,3.0,4.0,0.0,,,,Red,,Wizard,,Hybrid,3000.0,Variable,u,Hybrid,,"Inherited Effect [Your Turn] While this Digimon has the [Hybrid] or [Ten Warriors] trait, it gains ＜Piercing＞ (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.).",,,Digimon Card Game,flamemon-bt6-010,2024-05-27 15:14:30,Flamemon,249717.0,['BT-06: Booster Double Diamond'],650151.0,Flamemon (BT6-010),BT6-010,4993.0,405577.0,1611.0,5.83,5.0,4.0,6.25,5.04,4.99
Flamemon,Digimon,BT7-008,3.0,3.0,0.0,,,,Red,,Wizard,,Hybrid,1000.0,Variable,r,Hybrid,,"[On Play] Reveal the top 4 cards of your deck. Add 1 card with the [Hybrid] trait, or [Susanoomon] or [Takuya Kanbara] among them to your hand. Place the remaining cards at the bottom of your deck in any order.",[On Deletion] You may play 1 [Takuya Kanbara] from your hand without paying its memory cost.,,Digimon Card Game,flamemon-bt7-008,2024-05-27 15:14:30,Flamemon,260555.0,['BT-07: Booster Next Adventure'],650209.0,Flamemon (BT7-008),BT7-008,4995.0,405687.0,1611.0,1.19,1.0,1.26,1.0,1.2,1.28
Flamemon,Digimon,BT12-009,3.0,3.0,0.0,,,,Red,,Wizard,,Hybrid,1000.0,Variable,C,Hybrid,,"[On Play] By trashing 1 Digimon card with [Hybrid] trait from your hand, ＜Draw 2＞ (Draw 2 cards from your deck.)","[Your Turn] While this Digimon has [Hybrid] or [Ten Warriors] trait, it gets +2000 DP.",,Digimon Card Game,flamemon-bt12-009,2024-05-27 15:14:30,Flamemon,492174.0,"['BT-12: Booster Across Time', 'Ultimate Cup 2024']",705396.0,Flamemon (BT12-009),BT12-009,5322.0,418754.0,1611.0,0.09,0.02,0.1,0.02,0.12,0.11
Flamemon,Digimon,BT17-009,3.0,3.0,0.0,,,,Red,,Wizard,,Hybrid,1000.0,Variable,C,Hybrid,,[On Play] Reveal the top 3 cards of your deck. Add 1 card with the [Hybrid] or [Ten Warriors] trait and 1 Tamer card with an inherited effect among them to the hand. Return the rest to the bottom of the deck.,[On Deletion] You may play 1 Tamer card with inherited effects from your hand without paying the cost.,,Digimon Card Game,flamemon-bt17-009,2024-05-27 15:14:30,Flamemon,559585.0,['BT-17: Booster Secret Crisis'],778848.0,Flamemon (BT17-009),BT17-009,5797.0,437266.0,1611.0,0.13,0.02,0.09,0.05,0.1,0.08
Flamemon,Digimon,BT21-012,3.0,3.0,0.0,,,,Red,,Wizard,,Hybrid,1000.0,Variable,C,Hybrid,,"[Main] By suspending this Digimon, you may play 1 red Tamer card with inherited effects from your hand without paying the cost. If you did, place this Digimon under the played Tamer.",[Your Turn] This Digimon gets +2000 DP.,,Digimon Card Game,flamemon-bt21-012,2025-02-11 06:01:27,Flamemon,618143.0,['BT-21: Booster World Convergence'],814470.0,Flamemon (BT21-012),BT21-012,6010.0,446641.0,1611.0,0.07,0.02,0.06,0.1,0.09,0.06
Flare Rock Soul,Option,BT9-093,,3.0,,,,,Red,,,,,,,c,,,"[Main] Delete 1 of your opponent's Digimon with 5000 DP or less. Then, you may digivolve 1 of your Digimon into a Digimon card with [Shoutmon] in its name in your hand for its digivolution cost.",Security Effect [Security] Delete 1 of your opponent's Digimon with 5000 DP or less.,,Digimon Card Game,flare-rock-soul-bt9-093,2024-05-27 15:14:30,Flare Rock Soul,277719.0,['BT-09: Booster X Record'],668986.0,Flare Rock Soul (BT9-093),BT9-093,5099.0,410340.0,1611.0,,0.02,0.06,0.15,0.07,0.06
Flaremon,Digimon,EX5-012,5.0,7.0,3.0,,,[Digivolve] Lv.4 w/[Light Fang]/[Night Claw] trait: Cost 3,Red,,Beastkin,Light Fang,,7000.0,Vaccine,U,,,"When this card would be played or digivolved into, if you have a Digimon with 3 or more digivolution cards and the [Light Fang], [Night Claw] or [Galaxy] trait, reduce the play or digivolution cost by 2.
[On Play] [When Digivolving] Delete 1 of your opponent's Digimon with 5000 DP or less.",[Your Turn] This Digimon gets +2000 DP.,[Digivolve] Lv.4 w/[Light Fang]/[Night Claw] trait: Cost 3,Digimon Card Game,flaremon-ex5-012,2024-05-27 15:14:30,Flaremon,530766.0,['EX-05: Theme Booster Animal Colosseum'],749722.0,Flaremon (EX5-012),EX5-012,5560.0,428964.0,1611.0,0.18,0.02,0.17,0.05,0.18,0.24
Flarerizamon,Digimon,BT1-018,4.0,5.0,2.0,Red,3.0,,Red,,Fire Dragon,,Champion,4000.0,Data,c,Champion,,"[Your Turn] While you have 3 or more memory, this Digimon gains ＜Security A. +1＞ (This Digimon checks 1 additional security card.)",,,Digimon Card Game,flarerizamon-bt1-018,2024-05-27 15:14:30,Flarerizamon,229829.0,"['BT-01: Booster New Evolution', 'BT01-03: Release Special Booster Ver.1.0', 'BTC-01: Booster Ultimate Evolution']",620018.0,Flarerizamon (BT1-018),BT1-018,4984.0,405018.0,1611.0,0.05,0.02,0.05,0.05,0.06,0.07
Flarerizamon,Digimon,EX3-006,4.0,4.0,2.0,,,,Red,,Fire Dragon,,,5000.0,Data,c,,,"Inherited Effect [When Attacking] [Once Per Turn] If this Digimon has [Dragon], [saur] or [Ceratopsian] in any of its traits, ＜Draw 1＞ (Draw 1 card from your deck.)",,,Digimon Card Game,flarerizamon-ex3-006,2024-05-27 15:14:30,Flarerizamon,452811.0,['EX-03: Theme Booster Draconic Roar'],683213.0,Flarerizamon (EX3-006),EX3-006,5190.0,413974.0,1611.0,0.03,0.02,0.03,0.05,0.04,0.04
Flashy Boss Punch,Option,EX5-068,,8.0,,,,,Yellow,Green,Boss,,,,,R,,,"While you have a Digimon with [Leomon] or [Bancho] in its name, you can ignore this card's color requirements.
[Main] Suspend 1 of your opponent's Digimon, and 1 of your opponent's Digimon gets -12000 DP for the turn. Then, 1 of your Digimon with [Leomon] or [Bancho] in its name may attack.","Security Effect [Security] Suspend 1 of your opponent's Digimon, and 1 of your opponent's Digimon gets -12000 DP for the turn.",,Digimon Card Game,flashy-boss-punch-ex5-068,2024-05-27 15:14:30,Flashy Boss Punch,530888.0,['EX-05: Theme Booster Animal Colosseum'],749741.0,Flashy Boss Punch (EX5-068),EX5-068,5560.0,428982.0,1611.0,0.05,0.02,0.1,0.1,0.08,0.11
Flickmon,Digi-Egg,BT23-001,2.0,,,,,,Blue,,Flick (App Name),,Appmon,,Game,C,Appmon,,"Inherited Effect [When Attacking] [Once Per Turn] If this Digimon has the [Appmon] trait, ＜Draw 1＞ (Draw 1 card from your deck.)",,,Digimon Card Game,flickmon-bt23-001,2025-09-06 18:15:48,Flickmon,652674.0,"[""BT-23: Booster Hackers' Slumber""]",850411.0,Flickmon (BT23-001),BT23-001,6280.0,454685.0,1611.0,0.03,0.02,0.04,0.04,0.04,0.03
Flickmon,Digi-Egg,EX10-001,2.0,,,,,,Green,,Flick (App Name),,Appmon,,System,C,Appmon,,"Inherited Effect [Your Turn] [Once Per Turn] When effects trash any of this Digimon's link cards, gain 1 memory.",,,Digimon Card Game,flickmon-ex10-001,2025-08-11 12:13:00,Flickmon,648658.0,['EX-10: Extra Booster Sinister Order'],844192.0,Flickmon (EX10-001),EX10-001,6271.0,452877.0,1611.0,0.03,0.02,0.02,0.02,0.03,0.04
Floramon,Digimon,P-083,3.0,3.0,0.0,,,,Green,,Vegetation,,,2000.0,Data,P,,,"[On Play] If you have a green Tamer in play, 1 of your opponent's Digimon can't unsuspend until the end of their turn.",,,Digimon Card Game,floramon-p-083,2024-05-27 15:14:30,Floramon - P-083 (Official Tournament Pack Vol.13),550488.0,['Digimon Survive Promo Pack'],763332.0,Floramon (P-083),P-083,5007.0,432641.0,1611.0,0.21,0.05,0.18,0.16,0.2,0.33
Floramon,Digimon,ST4-02,3.0,2.0,1.0,Green,2.0,,Green,,Vegetation,,Rookie,4000.0,Data,c,Rookie,,,,,Digimon Card Game,floramon-st4-02,2024-05-27 15:14:30,Floramon,238107.0,['ST-4: Starter Deck Giga Green'],620993.0,Floramon (ST4-02),ST4-02,5001.0,405974.0,1611.0,0.03,0.02,0.04,0.05,0.08,0.06
Floramon,Digimon,BT5-048,3.0,3.0,0.0,Green,2.0,,Green,,Vegetation,,Rookie,4000.0,Data,C,Rookie,,,,,Digimon Card Game,floramon-bt5-048,2024-05-27 15:14:30,Floramon,245746.0,['BT-05: Booster Battle Of Omni'],620569.0,Floramon (BT5-048),BT5-048,4990.0,405503.0,1611.0,0.03,0.02,0.03,0.03,0.03,0.05
Floramon,Digimon,BT21-033,3.0,3.0,0.0,,,[Digivolve] Lv.2 w/[WG] trait: Cost 0,Blue,,Vegetation,WG,,1000.0,Data,C,,,[On Play] Reveal the top 3 cards of your deck. Add 1 card with [Avian] or [Bird] in any of its traits and 1 card with the [WG] trait among them to the hand. Return the rest to the bottom of the deck.,＜Jamming＞ (This Digimon can't be deleted in battles against Security Digimon.),[Digivolve] Lv.2 w/[WG] trait: Cost 0,Digimon Card Game,floramon-bt21-033,2025-03-16 12:04:41,Floramon,624055.0,['BT-21: Booster World Convergence'],818288.0,Floramon (BT21-033),BT21-033,6010.0,447507.0,1611.0,0.02,0.02,0.03,0.02,0.02,0.05
Flower Cannon,Option,BT1-110,,2.0,,,,,Green,,,,,,,r,,,[Main] Suspend 1 of your opponent's Digimon.,Security Effect [Security] Suspend all of your opponent's Digimon without ＜Blocker＞.,,Digimon Card Game,flower-cannon-bt1-110,2024-05-27 15:14:30,Flower Cannon,229964.0,"['BT-01: Booster New Evolution', 'BT01-03: Release Special Booster Ver.1.0', 'BTC-01: Booster Ultimate Evolution']",621273.0,Flower Cannon (BT1-110),BT1-110,5010.0,405110.0,1611.0,2.39,0.82,2.02,0.82,2.52,3.87
Fluffymon,Digi-Egg,EX7-004,2.0,,,,,,Green,,Mini Bird,LIBERATOR,,,,U,,,"Inherited Effect [Your Turn] [Once Per Turn] When this Digimon deletes your opponent's Digimon in battle, gain 1 memory.",,,Digimon Card Game,fluffymon-ex7-004,2024-05-27 15:14:30,Fluffymon,564912.0,['EX-07: Extra Booster Digimon Liberator'],786066.0,Fluffymon (EX7-004),EX7-004,5828.0,439444.0,1611.0,0.07,0.02,0.07,0.19,0.1,0.1
Fluffymon,Digi-Egg,ST18-01,2.0,,,,,,Green,,Mini Bird,LIBERATOR,,,,C,,,Inherited Effect [When Attacking] [Once Per Turn] You may suspend 1 other Digimon with DP less than or equal to this Digimon.,,,Digimon Card Game,fluffymon-st18-01,2024-05-27 15:14:30,Fluffymon,565049.0,['ST-18: Starter Deck Guardian Vortex'],785094.0,Fluffymon (ST18-01),ST18-01,5826.0,439129.0,1611.0,0.14,0.02,0.09,0.13,0.11,0.1
Fly Bullet,Option,BT6-109,,7.0,,,,,Purple,,,,,,,u,,,"While you have a [Three Musketeers] trait Digimon, you can ignore this card's color requirements.
[Main] Delete 1 of your opponent's level 6 or lower Digimon.",Security Effect [Security] Activate this card's [Main] effects.,,Digimon Card Game,fly-bullet-bt6-109,2024-05-27 15:14:30,Fly Bullet,249653.0,['BT-06: Booster Double Diamond'],650197.0,Fly Bullet (BT6-109),BT6-109,4993.0,405676.0,1611.0,1.99,0.95,0.95,1.99,2.77,6.28
Flymon,Digimon,BT3-049,4.0,5.0,2.0,Green,3.0,,Green,,Insectoid,,,4000.0,Virus,U,,,"[Security] At the end of the battle, play this card without paying the cost.",,,Digimon Card Game,flymon-bt3-049,2024-05-27 15:14:30,Flymon,231754.0,"['BT-03: Booster Union Impact', 'BT01-03: Release Special Booster Ver.1.5']",620321.0,Flymon (BT3-049),BT3-049,4987.0,405277.0,1611.0,0.35,0.1,0.52,0.98,0.44,0.48
Footmon,Digimon,BT12-069,5.0,8.0,2.0,,,,Black,,Cyborg,,,9000.0,Vaccine,C,,,,,,Digimon Card Game,footmon-bt12-069,2024-05-27 15:14:30,Footmon,493611.0,['BT-12: Booster Across Time'],708444.0,Footmon (BT12-069),BT12-069,5322.0,419267.0,1611.0,0.02,0.02,0.03,0.03,0.04,0.03
Forbidden Temptation,Option,BT1-113,,4.0,,,,,Green,,,,,,,c,,,"[Main] Until the end of your opponent's next turn, 1 of your opponent's Digimon can't attack or block.",Security Effect [Security] Your opponent's Digimon don't unsuspend during their next unsuspend phase.,,Digimon Card Game,forbidden-temptation-bt1-113,2024-05-27 15:14:30,Forbidden Temptation,229969.0,"['BT-01: Booster New Evolution', 'BT01-03: Release Special Booster Ver.1.0', 'BTC-01: Booster Ultimate Evolution']",620117.0,Forbidden Temptation (BT1-113),BT1-113,4984.0,405113.0,1611.0,0.06,0.02,0.07,0.02,0.07,0.06
Forbidden Trident,Option,BT6-096,,1.0,,,,,Blue,,,,,,,c,,,"[Main] 1 of your Digimon gets +2000 DP and ""[When Attacking] Return 1 of your opponent's level 3 Digimon to its owner's hand. Trash all of the digivolution cards of that Digimon."" for the turn.",,,Digimon Card Game,forbidden-trident-bt6-096,2024-05-27 15:14:30,Forbidden Trident,249714.0,['BT-06: Booster Double Diamond'],620777.0,Forbidden Trident (BT6-096),BT6-096,4992.0,405663.0,1611.0,0.02,0.02,0.05,0.02,0.06,0.04
ForgeBeemon,Digimon,BT19-048,4.0,4.0,3.0,,,[Digivolve] Lv.3 w/[Royal Base] trait: Cost 2,Green,Black,Cyborg,X Antibody,,4000.0,Virus,C,,,"[Security] [All Turns] All of your [Royal Base] trait Digimon get +1000 DP.
[All Turns] [Once Per Turn] When any of your other Digimon with the [Royal Base] trait would leave the battle area by effects, by placing this Digimon as the face-up bottom security card, they don't leave.",[All Turns] This Digimon gets +1000 DP.,[Digivolve] Lv.3 w/[Royal Base] trait: Cost 2,Digimon Card Game,forgebeemon-bt19-048,2024-05-27 15:14:30,ForgeBeemon,587283.0,"['BT-19: Booster Xros Evolution', 'BT18-19: Special Booster Ver.2.0']",793769.0,ForgeBeemon (BT19-048),BT19-048,5922.0,441388.0,1611.0,0.08,0.02,0.09,0.05,0.11,0.09
Fox Fire,Option,BT15-090,,4.0,,,,,Blue,,,,,,,C,,,"[Main] Return 1 of your opponent's level 4 or lower Digimon to the hand. If you have a Digimon with [Gabumon] or [Garurumon] in its name, return 1 of your opponent's Digimon with the lowest level to the hand instead.",Security Effect [Security] Activate this card's [Main] effects.,,Digimon Card Game,fox-fire-bt15-090,2024-05-27 15:14:30,Fox Fire,537399.0,['BT-15: Booster Exceed Apocalypse'],755521.0,Fox Fire (BT15-090),BT15-090,5577.0,430997.0,1611.0,0.06,0.02,0.05,0.1,0.04,0.04
Frigimon,Digimon,BT1-032,4.0,4.0,2.0,Blue,3.0,,Blue,,Ice-Snow,,Champion,4000.0,Vaccine,c,Champion,,＜Jamming＞ (This Digimon can't be deleted in battles against Security Digimon.),,,Digimon Card Game,frigimon-bt1-032,2024-05-27 15:14:30,Frigimon,229851.0,"['BT-01: Booster New Evolution', 'BT01-03: Release Special Booster Ver.1.0', 'BTC-01: Booster Ultimate Evolution']",620033.0,Frigimon (BT1-032),BT1-032,4984.0,405032.0,1611.0,0.04,0.02,0.03,0.02,0.04,0.07
Frigimon,Digimon,EX8-022,4.0,5.0,3.0,,,[Digivolve] Lv.3 w/[Ice-Snow] trait: Cost 2,Blue,Yellow,Ice-Snow,LIBERATOR,,5000.0,Vaccine,R,,,"＜Iceclad＞ (Other than against Security Digimon, compare the number of digivolution cards instead of DP in this Digimon's battles.)
[On Play] [When Digivolving] Trash the bottom 2 digivolution cards from 1 of your opponent's Digimon. Then, if your opponent has no Digimon with digivolution cards, gain 1 memory.",[When Attacking] Give 1 of your opponent's Digimon ＜Security A. -1＞ (This Digimon checks 1 additional security card.) until the end of their turn.,[Digivolve] Lv.3 w/[Ice-Snow] trait: Cost 2,Digimon Card Game,frigimon-ex8-022,2024-11-08 12:01:46,Frigimon,604304.0,['EX-08: Extra Booster Chain of Liberation'],802675.0,Frigimon (EX8-022),EX8-022,5967.0,443824.0,1611.0,0.07,0.02,0.12,0.09,0.1,0.08
Frimon,Digi-Egg,BT1-008,2.0,,,,,,Green,,Lesser,,In-Training,,,u,In-Training,,"Inherited Effect [Your Turn] While your opponent has 2 or more suspended Digimon in play, this Digimon gets +2000 DP.",,,Digimon Card Game,frimon-bt1-008,2024-05-27 15:14:30,Frimon,229818.0,"['BT-01: Booster New Evolution', 'BT01-03: Release Special Booster Ver.1.0', 'BTC-01: Booster Ultimate Evolution']",620008.0,Frimon (BT1-008),BT1-008,4984.0,405008.0,1611.0,0.04,0.02,0.05,0.02,0.03,0.09
Frimon,Digi-Egg,BT8-003,2.0,,,,,,Yellow,,Lesser,,,,,u,,,"Inherited Effect [Your Turn] While you have 3 or more security cards, this Digimon gets +1000 DP.",,,Digimon Card Game,frimon-bt8-003,2024-05-27 15:14:30,Frimon,268847.0,['BT-08: Booster New Awakening'],653586.0,Frimon (BT8-003),BT8-003,5027.0,407192.0,1611.0,0.04,0.02,0.05,0.05,0.06,0.08
Frimon,Digi-Egg,EX5-004,2.0,,,,,,Green,,Lesser,,,,,U,,,"Inherited Effect [When Attacking] [Once Per Turn] If this Digimon has [Leomon] in its name, ＜Draw 1＞ (Draw 1 card from your deck.)",,,Digimon Card Game,frimon-ex5-004,2024-05-27 15:14:30,Frimon,530964.0,"['Box Promotion Pack: Animal Colosseum', 'EX-05: Theme Booster Animal Colosseum']",749736.0,Frimon (EX5-004),EX5-004,5560.0,428977.0,1611.0,0.07,0.02,0.08,0.15,0.07,0.07
Frimon,Digi-Egg,BT18-006,2.0,,,,,,Purple,,Lesser,,,,,U,,,Inherited Effect [On Deletion] Trash the top card of your deck for each color of your opponent's Digimon and Tamers.,,,Digimon Card Game,frimon-bt18-006,2024-05-31 07:35:35,Frimon,587295.0,"['BT-18: Booster Elemental Successor', 'BT18-19: Special Booster Ver.2.0']",793609.0,Frimon (BT18-006),BT18-006,5922.0,441271.0,1611.0,0.03,0.02,0.04,0.02,0.04,0.03
From Master to Disciple,Option,ST12-15,,2.0,,,,,Red,,Royal Knight,,,,,c,,,"[Main] Reveal the top 3 cards of your deck. Add 1 card with [Huckmon] or [Sistermon] in its name or [Royal Knight] trait among them to your hand. Trash the rest. Then, place this card in your battle area.
[Main] ＜Delay＞ (By trashing this card after the placing turn, activate the effect below.)
・The next time one of your Digimon would digivolve this turn, reduce the digivolution cost by 1.","Security Effect [Security] Reveal the top 3 cards of your deck. Add 1 card with [Huckmon] or [Sistermon] in its name or [Royal Knight] trait among them to your hand. Trash the rest. Then, place this card in your battle area.",,Digimon Card Game,from-master-to-disciple-st12-15,2024-05-27 15:14:30,From Master to Disciple,285800.0,['ST-12: Starter Deck Jesmon'],675833.0,From Master to Disciple (ST12-15),ST12-15,5154.0,412402.0,1611.0,,,,,,
